Symbol,marketCap
CREDITACC,2541324.54
CYIENT,2539983.77
HATSUN,2536323.15
HUDCO,2521393.05
JBCHEPHARM,2518924.95
IRB,2509204.50
GODREJIND,2506488.91
EMAMILTD,2460768.75
NH,2456314.68
TIMKEN,2446075.62
APARINDS,2431548.78
NATIONALUM,2423435.64
RAMCOCEM,2411009.30
GLENMARK,2409574.97
RATNAMANI,2357369.19
AARTIIND,2354826.21
DEVYANI,2336351.58
MRPL,2333585.27
ISEC,2320496.59
LAURUSLABS,2317276.28
IIFL,2280873.45
SKFINDIA,2274195.74
RELAXO,2249160.12
KIOCL,2237435.66
POWERINDIA,2231119.71
RADICO,2217206.33
TATAINVEST,2166515.87
LALPATHLAB,2151808.59
FIVESTAR,2147564.43
ABFRL,2123241.77
BATAINDIA,2122503.80
CARBORUNIV,2115887.59
GILLETTE,2112418.16
ATUL,2111103.06
PEL,2092517.70
SONATSOFTW,2082855.32
KAJARIACER,2073065.29
BRIGADE,2070891.30
ASTERDM,2047004.52
PNBHOUSING,2027460.80
IDFC,2026380.29
SUMICHEM,2016798.35
CROMPTON,1990365.77
BSOFT,1988287.78
CHOLAHLDNG,1952979.49
PFIZER,1952947.81
BLUESTARCO,1947172.04
NAVINFLUOR,1909454.80
CDSL,1906498.00
SANOFI,1858006.95
TRIDENT,1849831.91
MOTILALOFS,1843042.15
SUVENPHAR,1839995.50
PPLPHARMA,1836913.48
AFFLE,1830774.21
VINATIORGA,1791953.65
TTML,1791691.26
CIEINDIA,1785658.71
COCHINSHIP,1780991.11
CASTROLIND,1777947.49
RRKABEL,1772834.01
JYOTHYLAB,1758562.20
CESC,1756380.82
BLUEDART,1746957.28
WHIRLPOOL,1734147.61
JBMA,1731374.52
GSPL,1726486.81
ELGIEQUIP,1725728.05
CENTURYPLY,1715064.40
RBLBANK,1683123.98
CELLO,1670576.58
KAYNES,1668613.25
RHIM,1662852.73
CLEAN,1645879.17
FINCABLES,1635151.01
INDIAMART,1632572.43
INOXWIND,1628927.61
PVRINOX,1628074.64
IRCON,1612043.98
DCMSHRIRAM,1603710.57
SHYAMMETL,1601396.56
APTUS,1595309.49
CGCL,1587287.62
KIMS,1583909.96
TVSHLTD,1561989.24
EIHOTEL,1560283.63
CHAMBLFERT,1554120.12
CONCORDBIO,1539741.29
FINEORG,1526330.26
KEC,1514764.68
NSLNISP,1506331.41
IEX,1498043.79
APLLTD,1492700.36
TEJASNET,1478312.05
NATCOPHARM,1474211.48
TANLA,1471864.86
NBCC,1467900.00
LAXMIMACH,1467710.66
